"",beta,delta,alpha,gamma,immune,stellate,endothelial,ductal,acinar
FOSL1,0.318833407825451,0.452838028225032,0.111064353074193,0,0.308738948037368,1,0.516423380867589,0.569124724158803,0.498601873765187
JUNB,0.305665199174289,0.454577621570992,0.0911155846288084,0,0.294417285534869,1,0.527665079655097,0.569205507434628,0.490584872449752
FOSL2,0.30686874624755,0.450082777843894,0.0947354368051533,0,0.290899344267452,1,0.524807790996362,0.572108868550935,0.499351646887507
JUND,0.31044404951245,0.456353547825507,0.0960716519463514,0,0.294842105316326,1,0.524397038792873,0.575483648886925,0.500870510319255
FOS::JUN,0.304213337437974,0.456925791891239,0.0889331650687011,0,0.296157105860782,1,0.529274513931138,0.563556759474792,0.502775664041681
JUN::JUNB,0.307047578472778,0.452690970648325,0.0876261038780717,0,0.296704939962334,1,0.538674676686315,0.563566521383341,0.510200199372349
FOS::JUND,0.307158028539683,0.458351051658232,0.0891528040317762,0,0.287435761069786,1,0.515471810135651,0.56682005861311,0.50591988504547
FOSL1::JUN,0.313055413011573,0.459721786458813,0.0942501011776655,0,0.294450592992491,1,0.524680304784249,0.568082772598245,0.513058939081486
FOSL2::JUN,0.312572595964319,0.461862352003347,0.0894646432316519,0,0.294131426032055,1,0.528324400453185,0.573714304722944,0.516379784375701
PBX3,0.224976158384898,0.394539150142238,0.335501969244186,0,0.284323756213149,1,0.35938341760493,0.804474783005413,0.506037645541455
MAFG::NFE2L1,0.234510176964151,0.310023402769843,0.132289074329475,0,0.324558666441344,1,0.292427129020926,0.379527427315171,0.418204665154574
ATF4,0.259424842123535,0.262109877035683,0.112737356085111,0,0.34802920815158,1,0.257929533198999,0.50177922825768,0.668986322424038
NRL,0.742987793365117,0.189490600368961,1,0,0.789845784484394,0.425687677395908,0.409625853214746,0.2763465505591,0.205364093580669
Mafb,0.788053260118992,0.233576713609886,1,0,0.823744671354272,0.670298146950212,0.467931223118852,0.287708270704045,0.332468816936554
MAFG,0.799038445066389,0.406530144642901,1,0,0.813296885979134,0.658174849551221,0.49655952698745,0.490619717732312,0.402690094923728
MEF2B,0.65935659279693,0.353343299810426,0.539400845629161,0.648488289648992,0.516358225441298,1,0.754763995110765,0,0.197170842806067
MAFK,0.655141185215477,0.486933523895596,0.645491782180518,0,0.620238642413705,1,0.528669546077899,0.555660366186091,0.534644796503951
MAFF,0.631367640726105,0.474262514970078,0.615298258140022,0,0.614684931988848,1,0.492602705933579,0.568775165324243,0.554674750212287
NR4A1,0.111583919505447,0,0.514397846419194,0.0574619791924074,0.454281506732985,1,0.385071110908288,0.174280481671256,0.491491652049093
USF1,0.44026533414333,0.351138543493782,0.348214886938947,0,0.596232064425356,1,0.627343261173123,0.332448724296487,0.890909248601317
MITF,0.280006010953901,0.254545111618676,0.197300022725035,0,0.479965181222753,1,0.577971673322692,0.248542235848599,0.623578039196029
HNF1B,0.281688828883635,0.584282599607493,0.728122000454952,0.751367156879855,0.312026823862779,0,0.177641184778362,1,0.79947390631593
HNF1A,0.25608587872338,0.539311720197617,0.711126303631021,0.709950163672769,0.305143400896843,0,0.166697931873996,1,0.764670892580543
HNF4G,0,0.25699939530515,0.716313767383865,0.768445392624176,0.203699017364014,0.0793169365841718,0.0257956784041881,0.688418132069317,1
Hnf4a,0,0.302664902596166,0.696947634985755,0.854686610530107,0.195631446881905,0.0695472194693563,0.055344218330153,0.781236253570327,1
CTCF,0.215561806716639,0.262558980183474,0.672631863880806,0.983246442761406,0.665747590024009,0,0.564884161659941,0.462833883870795,1
GATA1::TAL1,0.190033694881629,0.533220410605543,1,0.867227260230671,0.474671019382516,0,0.469668546432705,0.801217167546558,0.820069120987646
GATA3,0,0.253327972493742,0.889292613887281,0.743765168508146,0.350262218660768,0.00584587576543718,0.309851782917979,0.918662330742433,1
GATA5,0.0193443187683945,0.240337885967208,0.825028886808357,0.746632714937501,0.329975527091252,0,0.36933367780118,0.917454737152903,1
GATA6,0.0340004005144133,0.276910497981944,0.962331924676534,0.830298465618036,0.427063610024495,0,0.340095041598349,0.981868623761637,1
GATA2,0.0431907321659277,0.270399188993923,0.914793437626668,0.776215933222052,0.394124077615918,0,0.324463469307625,0.978497812847753,1
